postUrl,snapshotType,sharesCount,viewDelta,isFirstSeen,postId,videoPlayCount,firstSeenAt,platform,isProductPost,是否监控,playDelta,commentDelta,postKey,likesCount,shareDelta,commentsCount,capturedAt,红人名称,runId,likeDelta,videoViewCount
"{""link"":""https://www.tiktok.com/@freego.judah/video/7644671614822501663"",""text"":""https://www.tiktok.com/@freego.judah/video/7644671614822501663""}",existing,10,298,否,7644671614822501663,4594,1780225425753,tiktok,是,是,298,-1,tiktok_7644671614822501663,210,1,13,1780365666275,freego.judah,run_1780365602600,14,4594
"{""link"":""https://www.tiktok.com/@freego.judah/video/7645079595238034719"",""text"":""https://www.tiktok.com/@freego.judah/video/7645079595238034719""}",existing,2,23,否,7645079595238034719,1499,1780225424782,tiktok,是,是,23,-2,tiktok_7645079595238034719,75,0,13,1780241601629,freego.judah,run_1780241575191,1,1499
"{""link"":""https://www.youtube.com/shorts/PyCRmXOKe6I"",""text"":""https://www.youtube.com/shorts/PyCRmXOKe6I""}",milestone_7d,0,164,否,PyCRmXOKe6I,12495,1780397149380,youtubeshort,是,是,164,0,youtubeshort_PyCRmXOKe6I,213,0,10,1780453877340,Jaydin Smart,milestone_1780453805090,1,12495
"{""link"":""https://www.tiktok.com/@freego.judah/video/7643938632444808478"",""text"":""https://www.tiktok.com/@freego.judah/video/7643938632444808478""}",new,59,14300,是,7643938632444808478,14300,1780225428147,tiktok,是,是,14300,19,tiktok_7643938632444808478,530,59,19,1780225428147,freego.judah,run_1780225409611,530,14300
"{""link"":""https://www.tiktok.com/@frsilentt/video/7643793391553187080"",""text"":""https://www.tiktok.com/@frsilentt/video/7643793391553187080""}",new,64,4571,是,7643793391553187080,4571,1780390516658,tiktok,是,是,4571,28,tiktok_7643793391553187080,151,64,28,1780390516658,frsilentt,run_1780389710735,151,4571
"{""link"":""https://www.tiktok.com/@freego.judah/video/7643938632444808478"",""text"":""https://www.tiktok.com/@freego.judah/video/7643938632444808478""}",existing,59,300,否,7643938632444808478,14600,1780225428147,tiktok,是,是,300,0,tiktok_7643938632444808478,538,0,19,1780241604235,freego.judah,run_1780241575191,8,14600
"{""link"":""https://www.instagram.com/p/DYw8dPHuSuX/"",""text"":""https://www.instagram.com/p/DYw8dPHuSuX/""}",milestone_7d,0,39,否,3904886768821414807,12943,1780394462124,instagramreels,是,是,105,0,instagramreels_3904886768821414807,500,0,16,1780453828453,smartattackracing,milestone_1780453805090,3,4835
"{""link"":""https://www.youtube.com/shorts/2QYYVwpwQgw"",""text"":""https://www.youtube.com/shorts/2QYYVwpwQgw""}",new,0,69839,是,2QYYVwpwQgw,69839,1780484143022,youtubeshort,是,是,69839,17,youtubeshort_2QYYVwpwQgw,728,0,17,1780484143022,TeamTalentless,run_1780479721870,728,69839
"{""link"":""https://www.tiktok.com/@voltagerider/video/7645405244553202966"",""text"":""https://www.tiktok.com/@voltagerider/video/7645405244553202966""}",new,6,20600,是,7645405244553202966,20600,1780390408780,tiktok,是,是,20600,46,tiktok_7645405244553202966,522,6,46,1780390408780,voltagerider,run_1780389710735,522,20600
"{""link"":""https://www.tiktok.com/@freego.judah/video/7645079595238034719"",""text"":""https://www.tiktok.com/@freego.judah/video/7645079595238034719""}",existing,3,173,否,7645079595238034719,1672,1780225424782,tiktok,是,是,173,0,tiktok_7645079595238034719,80,1,13,1780365663574,freego.judah,run_1780365602600,5,1672
